subject,filename,label,onset_frame,apex_frame,offset_frame,onset_frame_path,apex_frame_path,offset_frame_path,optical_flow_path
sub0003,sub0003_01,0,109,199,228,dfme/sub0003_01/00109.png,dfme/sub0003_01/00199.png,dfme/sub0003_01/00228.png,optical_flow/dfme/apex/dfme_apex_0.png
sub0003,sub0003_02,0,48,106,171,dfme/sub0003_02/00048.png,dfme/sub0003_02/00106.png,dfme/sub0003_02/00171.png,optical_flow/dfme/apex/dfme_apex_1.png
sub0003,sub0003_03,0,83,126,211,dfme/sub0003_03/00083.png,dfme/sub0003_03/00126.png,dfme/sub0003_03/00211.png,optical_flow/dfme/apex/dfme_apex_2.png
sub0003,sub0003_04,0,44,86,126,dfme/sub0003_04/00044.png,dfme/sub0003_04/00086.png,dfme/sub0003_04/00126.png,optical_flow/dfme/apex/dfme_apex_3.png
sub0003,sub0003_05,5,34,91,134,dfme/sub0003_05/00034.png,dfme/sub0003_05/00091.png,dfme/sub0003_05/00134.png,optical_flow/dfme/apex/dfme_apex_4.png
sub0003,sub0003_06,5,39,89,119,dfme/sub0003_06/00039.png,dfme/sub0003_06/00089.png,dfme/sub0003_06/00119.png,optical_flow/dfme/apex/dfme_apex_5.png
sub0003,sub0003_07,2,60,112,159,dfme/sub0003_07/00060.png,dfme/sub0003_07/00112.png,dfme/sub0003_07/00159.png,optical_flow/dfme/apex/dfme_apex_6.png
sub0004,sub0004_01,5,24,134,168,dfme/sub0004_01/00024.png,dfme/sub0004_01/00134.png,dfme/sub0004_01/00168.png,optical_flow/dfme/apex/dfme_apex_7.png
sub0004,sub0004_02,6,24,95,157,dfme/sub0004_02/00024.png,dfme/sub0004_02/00095.png,dfme/sub0004_02/00157.png,optical_flow/dfme/apex/dfme_apex_8.png
sub0005,sub0005_01,4,0,123,227,dfme/sub0005_01/00000.png,dfme/sub0005_01/00123.png,dfme/sub0005_01/00227.png,optical_flow/dfme/apex/dfme_apex_9.png
sub0005,sub0005_02,4,0,122,227,dfme/sub0005_02/00000.png,dfme/sub0005_02/00122.png,dfme/sub0005_02/00227.png,optical_flow/dfme/apex/dfme_apex_10.png
sub0005,sub0005_03,5,49,127,217,dfme/sub0005_03/00049.png,dfme/sub0005_03/00127.png,dfme/sub0005_03/00217.png,optical_flow/dfme/apex/dfme_apex_11.png
sub0005,sub0005_04,5,70,122,150,dfme/sub0005_04/00070.png,dfme/sub0005_04/00122.png,dfme/sub0005_04/00150.png,optical_flow/dfme/apex/dfme_apex_12.png
sub0005,sub0005_05,5,161,288,387,dfme/sub0005_05/00161.png,dfme/sub0005_05/00288.png,dfme/sub0005_05/00387.png,optical_flow/dfme/apex/dfme_apex_13.png
sub0005,sub0005_06,5,0,120,152,dfme/sub0005_06/00000.png,dfme/sub0005_06/00120.png,dfme/sub0005_06/00152.png,optical_flow/dfme/apex/dfme_apex_14.png
sub0005,sub0005_07,5,56,121,144,dfme/sub0005_07/00056.png,dfme/sub0005_07/00121.png,dfme/sub0005_07/00144.png,optical_flow/dfme/apex/dfme_apex_15.png
sub0005,sub0005_08,5,16,77,112,dfme/sub0005_08/00016.png,dfme/sub0005_08/00077.png,dfme/sub0005_08/00112.png,optical_flow/dfme/apex/dfme_apex_16.png
sub0005,sub0005_09,5,28,119,182,dfme/sub0005_09/00028.png,dfme/sub0005_09/00119.png,dfme/sub0005_09/00182.png,optical_flow/dfme/apex/dfme_apex_17.png
sub0005,sub0005_10,4,0,189,244,dfme/sub0005_10/00000.png,dfme/sub0005_10/00189.png,dfme/sub0005_10/00244.png,optical_flow/dfme/apex/dfme_apex_18.png
