subject,filename,label,onset_frame,apex_frame,offset_frame,onset_frame_path,apex_frame_path,offset_frame_path,optical_flow_path
sub0003,sub0003_01,0,109,197,228,dfme/sub0003_01/00109.png,dfme/sub0003_01/00197.png,dfme/sub0003_01/00228.png,optical_flow/dfme/4_frames/dfme_4_frames_00000.png
sub0003,sub0003_01,0,109,198,228,dfme/sub0003_01/00109.png,dfme/sub0003_01/00198.png,dfme/sub0003_01/00228.png,optical_flow/dfme/4_frames/dfme_4_frames_00001.png
sub0003,sub0003_01,0,109,200,228,dfme/sub0003_01/00109.png,dfme/sub0003_01/00200.png,dfme/sub0003_01/00228.png,optical_flow/dfme/4_frames/dfme_4_frames_00002.png
sub0003,sub0003_01,0,109,201,228,dfme/sub0003_01/00109.png,dfme/sub0003_01/00201.png,dfme/sub0003_01/00228.png,optical_flow/dfme/4_frames/dfme_4_frames_00003.png
sub0003,sub0003_02,0,48,104,171,dfme/sub0003_02/00048.png,dfme/sub0003_02/00104.png,dfme/sub0003_02/00171.png,optical_flow/dfme/4_frames/dfme_4_frames_00004.png
sub0003,sub0003_02,0,48,105,171,dfme/sub0003_02/00048.png,dfme/sub0003_02/00105.png,dfme/sub0003_02/00171.png,optical_flow/dfme/4_frames/dfme_4_frames_00005.png
sub0003,sub0003_02,0,48,107,171,dfme/sub0003_02/00048.png,dfme/sub0003_02/00107.png,dfme/sub0003_02/00171.png,optical_flow/dfme/4_frames/dfme_4_frames_00006.png
sub0003,sub0003_02,0,48,108,171,dfme/sub0003_02/00048.png,dfme/sub0003_02/00108.png,dfme/sub0003_02/00171.png,optical_flow/dfme/4_frames/dfme_4_frames_00007.png
sub0003,sub0003_03,0,83,124,211,dfme/sub0003_03/00083.png,dfme/sub0003_03/00124.png,dfme/sub0003_03/00211.png,optical_flow/dfme/4_frames/dfme_4_frames_00008.png
sub0003,sub0003_03,0,83,125,211,dfme/sub0003_03/00083.png,dfme/sub0003_03/00125.png,dfme/sub0003_03/00211.png,optical_flow/dfme/4_frames/dfme_4_frames_00009.png
sub0003,sub0003_03,0,83,127,211,dfme/sub0003_03/00083.png,dfme/sub0003_03/00127.png,dfme/sub0003_03/00211.png,optical_flow/dfme/4_frames/dfme_4_frames_00010.png
sub0003,sub0003_03,0,83,128,211,dfme/sub0003_03/00083.png,dfme/sub0003_03/00128.png,dfme/sub0003_03/00211.png,optical_flow/dfme/4_frames/dfme_4_frames_00011.png
sub0003,sub0003_04,0,44,84,126,dfme/sub0003_04/00044.png,dfme/sub0003_04/00084.png,dfme/sub0003_04/00126.png,optical_flow/dfme/4_frames/dfme_4_frames_00012.png
sub0003,sub0003_04,0,44,85,126,dfme/sub0003_04/00044.png,dfme/sub0003_04/00085.png,dfme/sub0003_04/00126.png,optical_flow/dfme/4_frames/dfme_4_frames_00013.png
sub0003,sub0003_04,0,44,87,126,dfme/sub0003_04/00044.png,dfme/sub0003_04/00087.png,dfme/sub0003_04/00126.png,optical_flow/dfme/4_frames/dfme_4_frames_00014.png
sub0003,sub0003_04,0,44,88,126,dfme/sub0003_04/00044.png,dfme/sub0003_04/00088.png,dfme/sub0003_04/00126.png,optical_flow/dfme/4_frames/dfme_4_frames_00015.png
sub0003,sub0003_05,5,34,89,134,dfme/sub0003_05/00034.png,dfme/sub0003_05/00089.png,dfme/sub0003_05/00134.png,optical_flow/dfme/4_frames/dfme_4_frames_00016.png
sub0003,sub0003_05,5,34,90,134,dfme/sub0003_05/00034.png,dfme/sub0003_05/00090.png,dfme/sub0003_05/00134.png,optical_flow/dfme/4_frames/dfme_4_frames_00017.png
