subject,filename,onset_frame,apex_frame,offset_frame,onset_frame_path,apex_frame_path,offset_frame_path,optical_flow_path
sub0001,sub0001_01,20,128,240,dfme_testB/sub0001_01/00020.png,dfme_testB/sub0001_01/00128.png,dfme_testB/sub0001_01/00240.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00000.jpg
sub0001,sub0001_02,14,85,160,dfme_testB/sub0001_02/00014.png,dfme_testB/sub0001_02/00085.png,dfme_testB/sub0001_02/00160.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00001.jpg
sub0001,sub0001_03,4,123,246,dfme_testB/sub0001_03/00004.png,dfme_testB/sub0001_03/00123.png,dfme_testB/sub0001_03/00246.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00002.jpg
sub0001,sub0001_04,90,168,250,dfme_testB/sub0001_04/00090.png,dfme_testB/sub0001_04/00168.png,dfme_testB/sub0001_04/00250.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00003.jpg
sub0001,sub0001_05,80,153,230,dfme_testB/sub0001_05/00080.png,dfme_testB/sub0001_05/00153.png,dfme_testB/sub0001_05/00230.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00004.jpg
sub0001,sub0001_06,0,96,197,dfme_testB/sub0001_06/00000.png,dfme_testB/sub0001_06/00096.png,dfme_testB/sub0001_06/00197.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00005.jpg
sub0002,sub0002_01,44,144,248,dfme_testB/sub0002_01/00044.png,dfme_testB/sub0002_01/00144.png,dfme_testB/sub0002_01/00248.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00006.jpg
sub0002,sub0002_02,17,88,163,dfme_testB/sub0002_02/00017.png,dfme_testB/sub0002_02/00088.png,dfme_testB/sub0002_02/00163.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00007.jpg
sub0002,sub0002_03,18,43,72,dfme_testB/sub0002_03/00018.png,dfme_testB/sub0002_03/00043.png,dfme_testB/sub0002_03/00072.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00008.jpg
sub0006,sub0006_01,0,55,114,dfme_testB/sub0006_01/00000.png,dfme_testB/sub0006_01/00055.png,dfme_testB/sub0006_01/00114.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00009.jpg
sub0006,sub0006_02,24,78,137,dfme_testB/sub0006_02/00024.png,dfme_testB/sub0006_02/00078.png,dfme_testB/sub0006_02/00137.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00010.jpg
sub0006,sub0006_03,0,76,156,dfme_testB/sub0006_03/00000.png,dfme_testB/sub0006_03/00076.png,dfme_testB/sub0006_03/00156.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00011.jpg
sub0006,sub0006_04,65,120,179,dfme_testB/sub0006_04/00065.png,dfme_testB/sub0006_04/00120.png,dfme_testB/sub0006_04/00179.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00012.jpg
sub0006,sub0006_05,71,155,243,dfme_testB/sub0006_05/00071.png,dfme_testB/sub0006_05/00155.png,dfme_testB/sub0006_05/00243.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00013.jpg
sub0576,sub0576_01,125,184,248,dfme_testB/sub0576_01/00125.png,dfme_testB/sub0576_01/00184.png,dfme_testB/sub0576_01/00248.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00014.jpg
sub0576,sub0576_02,0,63,130,dfme_testB/sub0576_02/00000.png,dfme_testB/sub0576_02/00063.png,dfme_testB/sub0576_02/00130.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00015.jpg
sub0576,sub0576_03,40,141,246,dfme_testB/sub0576_03/00040.png,dfme_testB/sub0576_03/00141.png,dfme_testB/sub0576_03/00246.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00016.jpg
sub0576,sub0576_04,0,88,180,dfme_testB/sub0576_04/00000.png,dfme_testB/sub0576_04/00088.png,dfme_testB/sub0576_04/00180.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00017.jpg
sub0578,sub0578_01,40,143,250,dfme_testB/sub0578_01/00040.png,dfme_testB/sub0578_01/00143.png,dfme_testB/sub0578_01/00250.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00018.jpg
sub0578,sub0578_02,60,165,275,dfme_testB/sub0578_02/00060.png,dfme_testB/sub0578_02/00165.png,dfme_testB/sub0578_02/00275.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00019.jpg
sub0578,sub0578_03,35,132,234,dfme_testB/sub0578_03/00035.png,dfme_testB/sub0578_03/00132.png,dfme_testB/sub0578_03/00234.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00020.jpg
sub0579,sub0579_01,13,132,255,dfme_testB/sub0579_01/00013.png,dfme_testB/sub0579_01/00132.png,dfme_testB/sub0579_01/00255.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00021.jpg
sub0579,sub0579_02,0,112,229,dfme_testB/sub0579_02/00000.png,dfme_testB/sub0579_02/00112.png,dfme_testB/sub0579_02/00229.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00022.jpg
sub0579,sub0579_03,91,151,215,dfme_testB/sub0579_03/00091.png,dfme_testB/sub0579_03/00151.png,dfme_testB/sub0579_03/00215.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00023.jpg
sub0579,sub0579_04,10,93,180,dfme_testB/sub0579_04/00010.png,dfme_testB/sub0579_04/00093.png,dfme_testB/sub0579_04/00180.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00024.jpg
sub0579,sub0579_05,0,113,230,dfme_testB/sub0579_05/00000.png,dfme_testB/sub0579_05/00113.png,dfme_testB/sub0579_05/00230.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00025.jpg
sub0579,sub0579_06,0,113,230,dfme_testB/sub0579_06/00000.png,dfme_testB/sub0579_06/00113.png,dfme_testB/sub0579_06/00230.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00026.jpg
sub0579,sub0579_07,66,154,247,dfme_testB/sub0579_07/00066.png,dfme_testB/sub0579_07/00154.png,dfme_testB/sub0579_07/00247.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00027.jpg
sub0579,sub0579_08,20,137,258,dfme_testB/sub0579_08/00020.png,dfme_testB/sub0579_08/00137.png,dfme_testB/sub0579_08/00258.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00028.jpg
sub0579,sub0579_09,20,136,256,dfme_testB/sub0579_09/00020.png,dfme_testB/sub0579_09/00136.png,dfme_testB/sub0579_09/00256.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00029.jpg
sub0579,sub0579_10,33,146,264,dfme_testB/sub0579_10/00033.png,dfme_testB/sub0579_10/00146.png,dfme_testB/sub0579_10/00264.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00030.jpg
sub0592,sub0592_01,0,110,225,dfme_testB/sub0592_01/00000.png,dfme_testB/sub0592_01/00110.png,dfme_testB/sub0592_01/00225.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00031.jpg
sub0592,sub0592_02,55,169,288,dfme_testB/sub0592_02/00055.png,dfme_testB/sub0592_02/00169.png,dfme_testB/sub0592_02/00288.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00032.jpg
sub0592,sub0592_03,71,178,289,dfme_testB/sub0592_03/00071.png,dfme_testB/sub0592_03/00178.png,dfme_testB/sub0592_03/00289.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00033.jpg
sub0592,sub0592_04,159,274,394,dfme_testB/sub0592_04/00159.png,dfme_testB/sub0592_04/00274.png,dfme_testB/sub0592_04/00394.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00034.jpg
sub0592,sub0592_05,0,102,208,dfme_testB/sub0592_05/00000.png,dfme_testB/sub0592_05/00102.png,dfme_testB/sub0592_05/00208.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00035.jpg
sub0596,sub0596_01,0,73,150,dfme_testB/sub0596_01/00000.png,dfme_testB/sub0596_01/00073.png,dfme_testB/sub0596_01/00150.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00036.jpg
sub0596,sub0596_02,16,126,241,dfme_testB/sub0596_02/00016.png,dfme_testB/sub0596_02/00126.png,dfme_testB/sub0596_02/00241.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00037.jpg
sub0596,sub0596_03,0,102,209,dfme_testB/sub0596_03/00000.png,dfme_testB/sub0596_03/00102.png,dfme_testB/sub0596_03/00209.png,optical_flow/dfme_testB/apex/dfme_testB_apex_00038.jpg
